dataset_ID,link
217,https://cdn.sofifa.net/players/201/990/18_240.png
218,https://cdn.sofifa.net/players/185/132/18_240.png
219,https://cdn.sofifa.net/players/189/574/18_240.png
220,https://cdn.sofifa.net/players/177/610/18_240.png
221,https://cdn.sofifa.net/players/189/354/18_240.png
222,https://cdn.sofifa.net/players/190/149/18_240.png
223,https://cdn.sofifa.net/players/199/416/18_240.png
224,https://cdn.sofifa.net/players/189/575/18_240.png
225,https://cdn.sofifa.net/players/178/750/18_240.png
226,https://cdn.sofifa.net/players/220/440/18_240.png
227,https://cdn.sofifa.net/players/182/493/18_240.png
228,https://cdn.sofifa.net/players/164/169/18_240.png
229,https://cdn.sofifa.net/players/216/320/18_240.png
230,https://cdn.sofifa.net/players/173/306/18_240.png
231,https://cdn.sofifa.net/players/193/747/18_240.png
232,https://cdn.sofifa.net/players/190/972/18_240.png
233,https://cdn.sofifa.net/players/146/760/18_240.png
234,https://cdn.sofifa.net/players/143/745/18_240.png
235,https://cdn.sofifa.net/players/167/397/18_240.png
236,https://cdn.sofifa.net/players/173/818/18_240.png
237,https://cdn.sofifa.net/players/206/652/18_240.png
238,https://cdn.sofifa.net/players/172/316/18_240.png
239,https://cdn.sofifa.net/players/179/847/18_240.png
240,https://cdn.sofifa.net/players/199/157/18_240.png
241,https://cdn.sofifa.net/players/053/014/18_240.png
242,https://cdn.sofifa.net/players/135/742/18_240.png
243,https://cdn.sofifa.net/players/201/510/18_240.png
244,https://cdn.sofifa.net/players/199/823/18_240.png
245,https://cdn.sofifa.net/players/146/536/18_240.png
246,https://cdn.sofifa.net/players/183/900/18_240.png
247,https://cdn.sofifa.net/players/168/651/18_240.png
248,https://cdn.sofifa.net/players/198/706/18_240.png
249,https://cdn.sofifa.net/players/223/046/18_240.png
250,https://cdn.sofifa.net/players/146/296/18_240.png
251,https://cdn.sofifa.net/players/110/974/18_240.png
252,https://cdn.sofifa.net/players/199/074/18_240.png
253,https://cdn.sofifa.net/players/202/896/18_240.png
254,https://cdn.sofifa.net/players/214/639/18_240.png
255,https://cdn.sofifa.net/players/171/579/18_240.png
256,https://cdn.sofifa.net/player_0.svg
257,https://cdn.sofifa.net/players/199/829/18_240.png
258,https://cdn.sofifa.net/players/185/073/18_240.png
259,https://cdn.sofifa.net/players/146/748/18_240.png
260,https://cdn.sofifa.net/players/187/347/18_240.png
261,https://cdn.sofifa.net/players/186/547/18_240.png
262,https://cdn.sofifa.net/players/218/667/18_240.png
263,https://cdn.sofifa.net/players/177/983/18_240.png
264,https://cdn.sofifa.net/players/193/171/18_240.png
265,https://cdn.sofifa.net/players/177/569/18_240.png
266,https://cdn.sofifa.net/players/188/337/18_240.png
267,https://cdn.sofifa.net/players/193/887/18_240.png
268,https://cdn.sofifa.net/players/184/120/18_240.png
269,https://cdn.sofifa.net/players/206/545/18_240.png
270,https://cdn.sofifa.net/players/184/089/18_240.png
271,https://cdn.sofifa.net/players/162/409/18_240.png
272,https://cdn.sofifa.net/players/139/062/18_240.png
273,https://cdn.sofifa.net/players/146/996/18_240.png
274,https://cdn.sofifa.net/players/239/053/18_240.png
275,https://cdn.sofifa.net/players/231/016/22_240.png
276,https://cdn.sofifa.net/players/178/171/18_240.png
277,https://cdn.sofifa.net/players/197/781/18_240.png
278,https://cdn.sofifa.net/players/188/005/18_240.png
279,https://cdn.sofifa.net/players/201/893/18_240.png
280,https://cdn.sofifa.net/players/002/492/18_240.png
281,https://cdn.sofifa.net/players/045/186/18_240.png
282,https://cdn.sofifa.net/players/193/844/18_240.png
283,https://cdn.sofifa.net/players/112/253/18_240.png
284,https://cdn.sofifa.net/players/197/891/18_240.png
285,https://cdn.sofifa.net/players/177/600/18_240.png
286,https://cdn.sofifa.net/players/115/909/18_240.png
287,https://cdn.sofifa.net/players/154/472/18_240.png
288,https://cdn.sofifa.net/players/213/135/18_240.png
289,https://cdn.sofifa.net/players/146/701/18_240.png
290,https://cdn.sofifa.net/players/206/222/18_240.png
291,https://cdn.sofifa.net/players/174/379/18_240.png
292,https://cdn.sofifa.net/players/198/368/18_240.png
293,https://cdn.sofifa.net/players/190/361/18_240.png
294,https://cdn.sofifa.net/players/172/013/18_240.png
295,https://cdn.sofifa.net/players/204/525/18_240.png
296,https://cdn.sofifa.net/players/172/283/18_240.png
297,https://cdn.sofifa.net/players/190/584/18_240.png
298,https://cdn.sofifa.net/players/204/523/18_240.png
299,https://cdn.sofifa.net/players/146/482/18_240.png
300,https://cdn.sofifa.net/players/172/290/18_240.png
301,https://cdn.sofifa.net/players/161/793/18_240.png
302,https://cdn.sofifa.net/players/194/765/18_240.png
303,https://cdn.sofifa.net/players/169/416/18_240.png
304,https://cdn.sofifa.net/players/186/521/18_240.png
305,https://cdn.sofifa.net/players/202/935/18_240.png
306,https://cdn.sofifa.net/players/208/418/18_240.png
307,https://cdn.sofifa.net/players/178/250/18_240.png
308,https://cdn.sofifa.net/players/178/616/18_240.png
309,https://cdn.sofifa.net/players/205/869/18_240.png
310,https://cdn.sofifa.net/players/197/231/18_240.png
311,https://cdn.sofifa.net/players/186/537/18_240.png
312,https://cdn.sofifa.net/players/183/666/18_240.png
313,https://cdn.sofifa.net/players/239/433/18_240.png
314,https://cdn.sofifa.net/players/223/848/18_240.png
315,https://cdn.sofifa.net/players/225/475/18_240.png
316,https://cdn.sofifa.net/players/201/509/18_240.png
317,https://cdn.sofifa.net/players/190/575/18_240.png
318,https://cdn.sofifa.net/players/190/223/18_240.png
319,https://cdn.sofifa.net/players/178/087/18_240.png
320,https://cdn.sofifa.net/players/177/644/18_240.png
321,https://cdn.sofifa.net/players/198/198/18_240.png
322,https://cdn.sofifa.net/players/205/705/18_240.png
323,https://cdn.sofifa.net/players/173/432/18_240.png
324,https://cdn.sofifa.net/players/191/055/18_240.png
325,https://cdn.sofifa.net/players/216/435/18_240.png
326,https://cdn.sofifa.net/players/189/242/18_240.png
327,https://cdn.sofifa.net/players/202/648/18_240.png
328,https://cdn.sofifa.net/players/195/361/18_240.png
329,https://cdn.sofifa.net/players/135/697/18_240.png
330,https://cdn.sofifa.net/players/239/817/19_240.png
331,https://cdn.sofifa.net/players/163/806/18_240.png
332,https://cdn.sofifa.net/players/211/101/18_240.png
333,https://cdn.sofifa.net/players/185/181/18_240.png
334,https://cdn.sofifa.net/players/194/229/18_240.png
335,https://cdn.sofifa.net/players/234/906/18_240.png
336,https://cdn.sofifa.net/players/192/629/18_240.png
337,https://cdn.sofifa.net/players/192/492/18_240.png
338,https://cdn.sofifa.net/players/216/335/18_240.png
339,https://cdn.sofifa.net/players/166/664/18_240.png
340,https://cdn.sofifa.net/players/199/206/18_240.png
341,https://cdn.sofifa.net/players/201/144/18_240.png
342,https://cdn.sofifa.net/players/176/903/18_240.png
343,https://cdn.sofifa.net/players/207/410/18_240.png
344,https://cdn.sofifa.net/players/203/890/18_240.png
345,https://cdn.sofifa.net/players/192/678/18_240.png
346,https://cdn.sofifa.net/players/216/354/18_240.png
347,https://cdn.sofifa.net/players/176/731/18_240.png
348,https://cdn.sofifa.net/players/199/895/18_240.png
349,https://cdn.sofifa.net/players/192/816/18_240.png
350,https://cdn.sofifa.net/players/193/041/18_240.png
351,https://cdn.sofifa.net/players/165/536/18_240.png
352,https://cdn.sofifa.net/players/206/238/18_240.png
353,https://cdn.sofifa.net/players/157/479/18_240.png
354,https://cdn.sofifa.net/players/183/526/18_240.png
355,https://cdn.sofifa.net/players/207/732/18_240.png
356,https://cdn.sofifa.net/players/231/677/18_240.png
357,https://cdn.sofifa.net/players/146/952/18_240.png
358,https://cdn.sofifa.net/players/199/487/18_240.png
359,https://cdn.sofifa.net/players/203/843/18_240.png
360,https://cdn.sofifa.net/players/188/335/18_240.png
361,https://cdn.sofifa.net/players/212/449/18_240.png
362,https://cdn.sofifa.net/players/110/677/18_240.png
363,https://cdn.sofifa.net/players/178/746/18_240.png
364,https://cdn.sofifa.net/players/169/432/18_240.png
365,https://cdn.sofifa.net/players/190/156/18_240.png
366,https://cdn.sofifa.net/players/175/379/18_240.png
367,https://cdn.sofifa.net/players/198/950/18_240.png
368,https://cdn.sofifa.net/players/243/237/19_240.png
369,https://cdn.sofifa.net/players/213/661/18_240.png
370,https://cdn.sofifa.net/players/194/879/18_240.png
371,https://cdn.sofifa.net/players/201/377/18_240.png
372,https://cdn.sofifa.net/players/201/943/18_240.png
373,https://cdn.sofifa.net/players/220/018/18_240.png
374,https://cdn.sofifa.net/players/192/122/18_240.png
375,https://cdn.sofifa.net/players/241/461/18_240.png
376,https://cdn.sofifa.net/players/216/189/18_240.png
377,https://cdn.sofifa.net/players/190/507/18_240.png
378,https://cdn.sofifa.net/players/177/633/18_240.png
379,https://cdn.sofifa.net/players/208/522/18_240.png
380,https://cdn.sofifa.net/players/215/703/18_240.png
381,https://cdn.sofifa.net/players/189/701/18_240.png
382,https://cdn.sofifa.net/players/228/882/18_240.png
383,https://cdn.sofifa.net/players/230/144/18_240.png
384,https://cdn.sofifa.net/players/189/709/18_240.png
385,https://cdn.sofifa.net/players/240/351/18_240.png
386,https://cdn.sofifa.net/players/229/011/18_240.png
387,https://cdn.sofifa.net/players/202/493/18_240.png
388,https://cdn.sofifa.net/players/198/023/18_240.png
389,https://cdn.sofifa.net/players/194/761/18_240.png
390,https://cdn.sofifa.net/players/201/505/18_240.png
391,https://cdn.sofifa.net/players/146/637/18_240.png
392,https://cdn.sofifa.net/players/232/693/18_240.png
393,https://cdn.sofifa.net/players/203/551/18_240.png
394,https://cdn.sofifa.net/players/145/889/18_240.png
395,https://cdn.sofifa.net/players/146/460/18_240.png
396,https://cdn.sofifa.net/players/179/844/18_240.png
397,https://cdn.sofifa.net/players/188/554/18_240.png
398,https://cdn.sofifa.net/players/203/604/18_240.png
399,https://cdn.sofifa.net/players/142/959/18_240.png
400,https://cdn.sofifa.net/players/199/101/18_240.png
401,https://cdn.sofifa.net/players/146/059/18_240.png
402,https://cdn.sofifa.net/players/194/222/18_240.png
403,https://cdn.sofifa.net/players/192/715/18_240.png
404,https://cdn.sofifa.net/players/190/093/18_240.png
405,https://cdn.sofifa.net/players/146/058/18_240.png
406,https://cdn.sofifa.net/players/199/977/18_240.png
407,https://cdn.sofifa.net/players/204/277/18_240.png
408,https://cdn.sofifa.net/players/190/093/18_240.png
409,https://cdn.sofifa.net/players/242/348/19_240.png
410,https://cdn.sofifa.net/players/199/715/18_240.png
411,https://cdn.sofifa.net/players/241/184/18_240.png
412,https://cdn.sofifa.net/players/231/866/18_240.png
413,https://cdn.sofifa.net/players/236/508/18_240.png
414,https://cdn.sofifa.net/players/210/455/18_240.png
415,https://cdn.sofifa.net/players/229/037/18_240.png
416,https://cdn.sofifa.net/players/213/321/18_240.png
417,https://cdn.sofifa.net/players/187/366/18_240.png
418,https://cdn.sofifa.net/players/183/512/18_240.png
419,https://cdn.sofifa.net/players/193/152/18_240.png
420,https://cdn.sofifa.net/players/208/421/18_240.png
421,https://cdn.sofifa.net/players/228/017/18_240.png
422,https://cdn.sofifa.net/players/208/618/18_240.png
423,https://cdn.sofifa.net/players/204/963/18_240.png
424,https://cdn.sofifa.net/players/208/620/18_240.png
425,https://cdn.sofifa.net/players/178/625/18_240.png
426,https://cdn.sofifa.net/players/206/225/18_240.png
427,https://cdn.sofifa.net/players/227/732/18_240.png
428,https://cdn.sofifa.net/players/199/304/18_240.png
429,https://cdn.sofifa.net/players/191/043/18_240.png
430,https://cdn.sofifa.net/players/192/366/18_240.png
431,https://cdn.sofifa.net/players/163/083/18_240.png
432,https://cdn.sofifa.net/players/156/221/18_240.png
433,https://cdn.sofifa.net/players/162/347/18_240.png
434,https://cdn.sofifa.net/players/170/664/18_240.png
435,https://cdn.sofifa.net/players/198/710/18_240.png
436,https://cdn.sofifa.net/players/138/384/18_240.png
437,https://cdn.sofifa.net/players/170/481/18_240.png
438,https://cdn.sofifa.net/players/161/754/18_240.png
439,https://cdn.sofifa.net/players/191/202/18_240.png
440,https://cdn.sofifa.net/players/177/413/18_240.png
441,https://cdn.sofifa.net/players/199/561/18_240.png
442,https://cdn.sofifa.net/players/145/020/18_240.png
443,https://cdn.sofifa.net/players/178/005/18_240.png
444,https://cdn.sofifa.net/players/204/259/18_240.png
445,https://cdn.sofifa.net/players/179/696/18_240.png
446,https://cdn.sofifa.net/players/189/156/18_240.png
447,https://cdn.sofifa.net/players/203/299/18_240.png
448,https://cdn.sofifa.net/players/054/037/18_240.png
449,https://cdn.sofifa.net/players/185/089/18_240.png
